STARTDATE,ENDDATE,CRITICALFLAG,VIOLATIONCODE,VIOLATIONDESC
1/1/1901 0:00,3/23/2003 0:00,Y,01A,"Current valid <a    onmouseover=ShowContent('P2' '01A'); return true;""     href=""javascript:ShowContent('P2' '01A')"">permit</A>   registration or other authorization to operate establishment not available."" "
3/24/2003 0:00,2/17/2005 0:00,Y,01A,"Current valid <a    onmouseover=ShowContent('P2' '01A'); return true;""     href=""javascript:ShowContent('P2' '01A')"">permit</A>   registration or other authorization to operate establishment not available."" "
2/18/2005 0:00,6/30/2007 0:00,Y,01A,"Current valid <a    onmouseover=ShowContent('P2' '01A'); return true;""     href=""javascript:ShowContent('P2' '01A')"">permit</A>   registration or other authorization to operate establishment not available."" "
7/1/2007 0:00,6/30/2008 0:00,Y,01A,Current valid permit. registration or other authorization to operate establishment not available.  Violations points are not assessed for Smoke Free Air Act. trans fat. calorie posting or permit and poster violations.    
7/1/2008 0:00,8/1/2009 0:00,Y,01A,Current valid permit. registration or other authorization to operate establishment not available.  Violations points are not assessed for Smoke Free Air Act. trans fat. calorie posting or permit and poster violations.    
1/1/1901 0:00,3/23/2003 0:00,Y,01B,Current valid permit. registration or other authorization to operate Temporary Food Service Establishment is not available.    
3/24/2003 0:00,2/17/2005 0:00,Y,01B,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
2/18/2005 0:00,6/30/2007 0:00,Y,01B,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
7/1/2007 0:00,6/30/2008 0:00,Y,01B,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
7/1/2008 0:00,8/1/2009 0:00,Y,01B,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
1/1/1901 0:00,3/23/2003 0:00,Y,01C,"<a    onmouseover=ShowContent('F3' '01C'); return true;""     href=""javascript:ShowContent('F3' '01C')"">Food Protection Certificate</a> not held by supervisor of food operations.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,01C,Notice of the Department or Board mutilated. obstructed. or removed.    
2/18/2005 0:00,6/30/2007 0:00,Y,01C,Notice of the department or Board mutilated. obstructed. or removed.    
7/1/2007 0:00,6/30/2008 0:00,Y,01C,Notice of the department or Board mutilated. obstructed. or removed.    
