,STARTDATE,ENDDATE,CRITICALFLAG,VIOLATIONCODE,VIOLATIONDESC
4,7/1/2008 0:00,8/1/2009,Y,01A,Current valid permit. registration or other authorization to operate establishment not available.  Violations points are not assessed for Smoke Free Air Act. trans fat. calorie posting or permit and poster violations.    
9,7/1/2008 0:00,8/1/2009,Y,01B,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
14,7/1/2008 0:00,8/1/2009,Y,01C,Notice of the department or Board mutilated. obstructed. or removed.    
19,7/1/2008 0:00,8/1/2009,Y,01D,Failure to comply with an Order of the Board. Commissioner or Department.    
24,7/1/2008 0:00,8/1/2009,Y,01E,Duties of an officer of the Department interfered with or obstructed.    
29,7/1/2008 0:00,8/1/2009,Y,01F,Failure to report occurrences of suspected food borne illness to the Department.    
30,1/1/1901 0:00,3/23/2003,Y,01G,Failure to comply with an Order of the Board. Commissioner or Department.    
31,1/1/1901 0:00,3/23/2003,Y,01H,Duties of an officer of the Department interfered with or obstructed.    
32,1/1/1901 0:00,3/23/2003,Y,01I," Nuisance created or allowed to exist. Facility not free from unsafe  hazardous  offensive or annoying condition."""
39,7/26/2010 0:00,12/31/2099,Y,02A,Food not cooked to required minimum temperature.    
46,7/26/2010 0:00,12/31/2099,Y,02B,Hot food item not held at or above 140º F.    
53,7/26/2010 0:00,12/31/2099,Y,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.    
60,7/26/2010 0:00,12/31/2099,Y,02D,Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated. but is not heated to 140º F within 2 hours.    
67,7/26/2010 0:00,12/31/2099,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. is being cooked frozen or partially thawed.    
74,7/26/2010 0:00,12/31/2099,Y,02F,Meat. fish or molluscan shellfish served raw or undercooked without prior notification to customer.    
80,7/26/2010 0:00,12/31/2099,Y,02G,Cold food item held above 41 F (smoked fish and reduced oxygen packaged foods above 38 F) except during necessary preparation.    
86,7/26/2010 0:00,12/31/2099,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours. and from 70º F to 41º F or less within 4 additional hours.    
92,7/26/2010 0:00,12/31/2099,Y,02I,Food prepared from ingredients at ambient temperature not cooled to 41 F or below within 4 hours.    
94,7/26/2010 0:00,12/31/2099,Y,02J,Reduced oxygen packaged (ROP) foods not cooled by an approved method whereby the internal food temperature is reduced to 38º F within two hours of cooking and if necessary further cooled to a temperature of 34º F within six hours of reaching 38º F.    
101,7/26/2010 0:00,12/31/2099,Y,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.    
108,7/26/2010 0:00,12/31/2099,Y,03B,Shellfish not from approved source. improperly tagged/labeled; tags not retained for 90 days.    
115,7/26/2010 0:00,12/31/2099,Y,03C,Eggs found dirty/cracked; liquid. frozen or powdered eggs not pasteurized.    
121,7/26/2010 0:00,12/31/2099,Y,03D,Canned food product observed swollen. leaking or rusted. and not segregated from other consumable food items .    
127,7/26/2010 0:00,12/31/2099,Y,03E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.    
133,7/26/2010 0:00,12/31/2099,Y,03F,Unpasteurized milk or milk product present.    
139,7/26/2010 0:00,12/31/2099,Y,03G,Raw food not properly washed prior to serving.    
140,3/24/2003 0:00,2/17/2005,Y,03H,Raw food not properly washed prior to serving.    
147,7/26/2010 0:00,12/31/2099,Y,04A,Food Protection Certificate not held by supervisor of food operations.    
154,7/26/2010 0:00,12/31/2099,Y,04B,Food worker prepares food or handles utensil when ill with a disease transmissible by food. or have exposed infected cut or burn on hand.    
161,7/26/2010 0:00,12/31/2099,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
168,7/26/2010 0:00,12/31/2099,Y,04D,Food worker does not wash hands thoroughly after using the toilet. coughing. sneezing. smoking. eating. preparing raw foods or otherwise contaminating hands.    
175,7/26/2010 0:00,12/31/2099,Y,04E,Toxic chemical improperly labeled. stored or used such that food contamination may occur.    
182,7/26/2010 0:00,12/31/2099,Y,04F,Food. food preparation area. food storage area. area used by employees or patrons. contaminated by sewage or liquid waste.    
189,7/26/2010 0:00,12/31/2099,Y,04G,Unprotected potentially hazardous food re-served.    
195,7/26/2010 0:00,12/31/2099,Y,04H,Raw. cooked or prepared food is adulterated. contaminated. cross-contaminated. or not discarded in accordance with HACCP plan.    
201,7/26/2010 0:00,12/31/2099,Y,04I,Unprotected food re-served.    
207,7/26/2010 0:00,12/31/2099,Y,04J,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking. cooling. reheating and holding.    
213,7/26/2010 0:00,12/31/2099,Y,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.    
219,7/26/2010 0:00,12/31/2099,Y,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.    
225,7/26/2010 0:00,12/31/2099,Y,04M,Live roaches present in facility's food and/or non-food areas.    
231,7/26/2010 0:00,12/31/2099,Y,04N,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies. little house flies. blow flies. bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies. drain flies and Phorid flies.    
237,7/26/2010 0:00,12/31/2099,Y,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.    
242,8/2/2009 0:00,7/25/2010,Y,04P,Other live animal present in facility's food and/or non-food areas.    
243,3/24/2003 0:00,2/17/2005,Y,04Q,Live animal present in facility.    
250,7/26/2010 0:00,12/31/2099,Y,05A,Sewage disposal system improper or unapproved.    
257,7/26/2010 0:00,12/31/2099,Y,05B,Harmful. noxious gas or vapor detected. CO ~1 3 ppm.    
264,7/26/2010 0:00,12/31/2099,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
